"kreis","key","year","V","P","A","total_pop","bpcr","pgr_log","lcr_log","lcrpgr_log","ln_density","urban_pop_share","ln_gdp","int_migr"
"Ahrweiler","ahrweiler|L",1995,5189814.71764706,69626.4412510122,58129023.6210593,125377,0.00913413373514699,0.00781615350932647,0.0169502872444734,2.16862261267615,7.08823459210961,0.555336634717789,2.76443052732717,10.6800003051758
"Ahrweiler","ahrweiler|L",2000,5705555.48627451,71959.7805738093,61132883.2401999,129462,0.0123558777320027,0.0065925923140768,0.0189484700460795,2.87420625201104,7.07081273013574,0.555837084038631,2.76380019455961,5.88599996566773
"Ahrweiler","ahrweiler|L",2005,5932010.70980392,71011.9117496645,60131594.4901999,130467,0.0104365217027193,-0.00265194514126133,0.00778457656145795,-2.93542141590283,7.07406751099125,0.544290217063813,2.82967772075033,4.39400004148483
"Ahrweiler","ahrweiler|L",2010,6198116.13333333,70624.4417553281,60131594.4901999,127443,0.0098707031438995,-0.00109426980106427,0.00877643334283524,-8.02035598012428,7.06859616198593,0.554164934561554,2.97399776581392,0.0720000147819531
"Ahrweiler","ahrweiler|L",2015,6481157.13333333,71348.8105983109,61132874.3925437,127770,0.00688985584539338,0.00204087774745351,0.00893073359284684,4.37592776146935,7.06228618888966,0.558415986525091,3.15827623192097,3.66399997472763
"Ahrweiler","ahrweiler|L",2020,6740423.5372549,71742.0245651704,61934613.80108,130479,0.00674553583437698,0.00109920375040679,0.00784473958478383,7.13674747004884,7.05475275912286,0.549835793998807,3.29026583516231,5.7939998626709
"Aichach-Friedberg","aichachfriedberg|L",1995,5005966.0745098,59302.7078264371,47531342.4911573,117921,0.0102274487174701,0.00931817555946373,0.0195456242769338,2.09758059957164,7.12902091176124,0.502902009196302,2.76380019455961,7.48999977111816
"Aichach-Friedberg","aichachfriedberg|L",2000,5435397.40784314,61240.1358241869,47531342.4911573,123263,0.0100308802898774,0.00642956410960686,0.0164604443994843,2.56011824734582,7.16116873230928,0.496824966325555,2.9317269557786,6.64399995803833
"Aichach-Friedberg","aichachfriedberg|L",2005,5847987.01960784,62278.3813660086,49532936.0849073,127446,0.0112706592967031,0.00336231366276733,0.0146329729594705,4.3520546942152,7.13673181221963,0.488664857006172,2.9704144655697,5.01800000667572
"Aichach-Friedberg","aichachfriedberg|L",2010,6168550.25098039,63191.7399406882,49532936.0849073,127955,0.0077614203193491,0.00291184769389509,0.0106732680132442,3.66546232332877,7.15129105068911,0.493859090623174,3.13983263404159,0.808000010997056
"Aichach-Friedberg","aichachfriedberg|L",2015,6523805.43529412,64629.2577766737,50295377.9810585,130916,0.00670007979382319,0.00449872390934309,0.0111988037031662,2.48932895835377,7.15850931015996,0.493669664339529,3.21607190977677,1.9800000153482
"Aichach-Friedberg","aichachfriedberg|L",2020,6865480.91764706,64942.4878326732,50295377.9810585,135024,0.00924267365734748,0.000966972127125845,0.0102096457844733,10.5583661597565,7.16334417079559,0.480969959656603,3.35480432078129,3.74200006723404
"Alb-Donau-Kreis","albdonaukreis|L",1995,5525058.84313725,72931.4562741918,58680160.0422603,180309,0.0126844453575413,0.0215603029978178,0.0342447483553591,1.58832407683812,7.12517364324368,0.404480399060456,2.78253904365063,3.38000011444092
"Alb-Donau-Kreis","albdonaukreis|L",2000,6586847.70196079,79967.2804218769,66491415.2258349,185930,0.0167366958640696,0.0184195022760745,0.0351561981401441,1.90863996286204,7.09229999028826,0.430093478308379,2.95647153579602,4
"Alb-Donau-Kreis","albdonaukreis|L",2005,7398791.64705882,82893.8904982155,69720101.4305224,190233,0.0160596003314231,0.0071887611784376,0.0232483615098607,3.23398718260292,7.08082796568298,0.435749267993542,2.99021706217953,2.6940000295639
"Alb-Donau-Kreis","albdonaukreis|L",2010,8011899.30980392,83033.7350159738,70720852.0359911,189670,0.0155851090690991,0.000337121803404022,0.0159222308725031,47.2299053687169,7.06826178390048,0.437780012737775,3.22246936645995,-0.541999992728233
"Alb-Donau-Kreis","albdonaukreis|L",2015,8744450.78039216,84165.7757197324,73711832.5943513,192104,0.0147900098132501,0.00270828065755046,0.0174982904708006,6.46103291474493,7.04038031635159,0.43812609690445,3.33861251730005,1.21999997459352
"Alb-Donau-Kreis","albdonaukreis|L",2020,9084220.01568628,78863.4238411475,69825968.6627451,198204,0.0206380743402727,-0.0130141660547584,0.00762390828551431,-0.585816121711985,7.02946683873546,0.397890172958909,3.49983536999321,1.33600001335144
"Altenburger Land","altenburgerland|L",1995,4509163.38039216,65300.7737969434,40515298.8776425,120655,0.023082729913389,-0.00278795339318974,0.0202947765201992,-7.27945329709392,7.38507951222279,0.541218961476469,2.3115448494882,-4.42000007629395
"Altenburger Land","altenburgerland|L",2000,4896448.09411765,62692.5159135251,40515298.8776425,114200,0.0246320478881316,-0.00815236179899087,0.0164796860891407,-2.02146157094998,7.34431770322783,0.548971242675351,2.46470396193322,-5.53399996757507
"Altenburger Land","altenburgerland|L",2005,4390984.7372549,53210.0745180536,33050920.0246094,106365,0.0110075560358112,-0.032798865606899,-0.0217913095710877,0.664392172347086,7.38395362477544,0.500259244281988,2.59525467848898,-8.50799989700317
"Altenburger Land","altenburgerland|L",2010,4480772.29019608,49292.5478431242,32049536.1867188,98810,0.0193433481843364,-0.0152949677610218,0.00404838042331462,-0.264687084443005,7.33824547752765,0.498861935463255,2.79789089580353,-8.39600009918213
"Altenburger Land","altenburgerland|L",2015,4360137.14117647,45322.6840090801,29045358.1496094,92344,0.0113346691673412,-0.01679305046935,-0.00545838130200886,0.32503810501679,7.35270425466871,0.490802694371914,2.99373022501522,-3.18400001525879
"Altenburger Land","altenburgerland|L",2020,4326537.92941177,42421.5213983975,28044000.8449219,88356,0.0116832001642611,-0.0132303688587844,-0.00154716869452331,0.116940707476652,7.32163635712255,0.480120437756322,3.13113689390213,-0.462000004947186
"Altenkirchen (Westerwald)","altenkirchen|L",1995,5408114.54901961,69357.4246044349,74723796.4923637,134993,0.010698322347572,0.0218187760428662,0.0325170983904382,1.49032642007753,6.83322987770068,0.513785341495003,2.81780105138858,6.09000015258789
"Altenkirchen (Westerwald)","altenkirchen|L",2000,6088570.71764706,71927.1343556685,81573917.178776,137223,0.0164264916263891,0.00727607656031412,0.0237025681867032,3.25760291143499,6.7818992942628,0.524162380618909,2.89092717189646,2.73399996757507
